ID,Behaviour_ID,Behaviour_Result,Behaviour_Start_Time
K0000001R,10011,PRHFvzqSja,1/1/2012 0:00
K0000001R,10012,HpKhuisLCQ,2/1/2012 13:12
K0000001R,10013,xOTAfUByGc,2/1/2012 20:19
K0000001R,10014,lUOpXmsrNx,2/1/2012 21:05
K0000001R,10015,BmQpOBdpZT,3/1/2012 13:56
K0000001R,10021,AcBhydfBIX,1/1/2012 0:00
K0000001R,10022,djO nGvNJs,1/1/2012 4:00
K0000001R,10023,BRPWvMaZmf,2/1/2012 16:21
K0000001R,10024,VWOrYUiSsv,3/1/2012 13:45
K0000001R,10025,wCdnZcnyMg,4/1/2012 20:37
K0000001R,10031,xUCPefHbGZ,1/1/2012 0:00
K0000001R,10032,ibgKAtj Sr,6/1/2012 12:12
K0000001R,10033,dPvjRqDFWy,6/1/2012 21:17
K0000001R,10034,rxMmNywwnj,9/1/2012 1:01
K0000001R,10041,TGrLngrbzi,1/1/2012 0:00
K0000001R,10042,TEniafnntQ,5/1/2012 2:02
K0000001R,10043,xCwZBxRyhs,9/1/2012 22:00
K0000001R,10044,LUeuDbabkX,12/1/2012 11:06
O0000002Q,20011,VFlDkGArkt,1/1/2012 0:00
O0000002Q,20012,rcuwwFtWoV,1/1/2012 5:32
O0000002Q,20013,arrGmUTJAE,1/1/2012 12:12
O0000002Q,20021,VLFKcLhkYe,1/1/2012 0:00
O0000002Q,20022,yyEklrRqRC,1/1/2012 11:51
O0000002Q,20023,SGnJPncIyL,1/1/2012 22:58
O0000002Q,20024,mYvjM GnaB,2/1/2012 12:42
O0000002Q,20025,txrSObOiDy,3/1/2012 16:22
S0000003H,30011,UitmqTMdQG,1/1/2012 0:00
S0000003H,30012,MCj VmdGfK,1/1/2012 7:07
S0000003H,30013,iduCuRMSCT,2/1/2012 8:15
S0000003H,30021,RSaARCEalF,1/1/2012 0:00
S0000003H,30022,buoKtAFsru,1/1/2012 0:58
S0000003H,30023,naPNmkZyGu,1/1/2012 2:07
T0000004Z,40011,RAIhUBhrlh,1/1/2012 0:00
T0000004Z,40012,etH yBqFaw,8/1/2012 19:24
T0000004Z,40013,riZXKwLVSO,13/1/2012 23:27
T0000004Z,40014,ichNsdeZJH,19/1/2012 8:47
T0000004Z,40015,NMKiHAaepN,21/1/2012 14:39
T0000004Z,40016,SENyXAlGKY,24/1/2012 16:07
T0000004Z,40021,GaqTJWvwzX,1/1/2012 0:00
T0000004Z,40022,dsWaHgAMzU,1/1/2012 13:42
T0000004Z,40023,HmlmlBPwRn,3/1/2012 4:44
T0000004Z,40024,tTbEBEuQDV,4/1/2012 9:28
T0000004Z,40031,DroTHkBgru,1/1/2012 0:00
T0000004Z,40032,SFyKvgtqqF,1/1/2012 0:22
T0000004Z,40033,h OodVPcWl,2/1/2012 0:34
T0000004Z,40034,QFHjLBMQS ,4/1/2012 7:55
T0000004Z,40035,iErIiktnBq,4/1/2012 11:00
T0000004Z,40036,jHUTzTQaTs,5/1/2012 19:16
T0000004Z,40037,rIjHiZKmfR,9/1/2012 8:26
T0000004Z,40038,REJfX UYzp,9/1/2012 23:36
T0000004Z,40039,nRNMGMZVYp,10/1/2012 23:16
M0000005D,50011,DFA hBbzNg,1/1/2012 0:00
M0000005D,50012,oEZMqnZVlA,2/1/2012 3:56
M0000005D,50013,Cbrqiyhfls,4/1/2012 7:26
M0000005D,50014,CIlgeGKSFY,6/1/2012 18:02
M0000005D,50021,feMyjsQOub,1/1/2012 0:00
M0000005D,50022,qnWZHLYPOF,3/1/2012 18:03
M0000005D,50023,riGMygNbfB,4/1/2012 19:17
Z0000006R,60011,LfWCTCNGie,1/1/2012 0:00
Z0000006R,60012,jDFAjMFeYC,2/1/2012 4:15
Z0000006R,60013,fnHEQjFCTL,2/1/2012 18:24
Z0000006R,60014, JduNNyHVe,6/1/2012 1:22
